date,year,doy,dyear,footprint,sat,npx,npx_frac,ndvi_mean,ndvi_stdv,evi_mean,evi_stdv,grvi_mean,grvi_stdv,rsr_mean,rsr_stdv,ndii_mean,ndii_stdv,nbr_mean,nbr_stdv,kttc_grn_mean,kttc_grn_stdv,kttc_wet_mean,kttc_wet_stdv,site_name
20090818,2009,230,2009.6301369863013,P61R17,LT05,203,1.0,0.6173343652497667,0.04414196798114502,0.2733093029012712,0.07540032987028765,0.08194028748778459,0.05158216671031693,4.289400742202384,0.6886590312210537,0.2773412515827089,0.07118672296753728,0.5382855464367832,0.06879410911486124,0.0888259321256179,0.04781131975975165,-0.04748428392831774,0.03351689883003415,KLOO
20090818,2009,230,2009.6301369863013,P61R17,LT05,215,1.0,0.6106764569355706,0.03313177190537088,0.24966949244495554,0.0252621270896404,0.09148325995938472,0.0484788010508574,4.162759469557844,0.4596293341363539,0.2784529378990491,0.05718982455334355,0.5342940665850798,0.053727058443985336,0.07695171876573029,0.009291559675992931,-0.041137821931320345,0.012944167479486807,SULPHUR
20090818,2009,230,2009.6301369863013,P61R17,LT05,369,1.0,0.5710067485248888,0.04454074319604941,0.2447755769879965,0.025260230858899068,0.07872732059745212,0.0425984666265942,3.696618161058379,0.4829379949622773,0.16745988773892126,0.03750915739702527,0.4181812366448467,0.05830425810638978,0.07223348757817173,0.009052699814641341,-0.0649926007825824,0.01280835966016002,SILVER
20090826,2009,238,2009.6520547945208,P61R17,LE07,368,0.997289972899729,0.5537402066623726,0.02634907754963332,0.2642323766928831,0.02204694297067488,0.06294222854231214,0.042025602217937774,2.3054282832824065,0.17995976042428247,0.3422304177085147,0.048558891720891714,0.5638209062175601,0.049766673366143314,0.07815436474345472,0.007235332638166148,-0.03018743239547125,0.010415267978281784,CHITTY
20090826,2009,238,2009.6520547945208,P61R17,LE07,51,0.2372093023255814,0.4463518251451952,0.02000535189443773,0.2592879411693091,0.02096523156244948,0.0404599557524114,0.025588652877977368,1.725030335669096,0.08734131278782042,0.2415738526663065,0.033101445209227705,0.4534897674380909,0.02653484912164615,0.06859876398374459,0.006917906108850065,-0.05024314208434896,0.00964037274191808,SULPHUR
20090826,2009,238,2009.6520547945208,P61R17,LE07,316,0.8563685636856369,0.5396242513987969,0.03174613057633989,0.2354391876792121,0.02348960184120432,0.06684782387237319,0.041435158353200656,2.218192003292442,0.20279952978009733,0.1811513818572226,0.031181170369363093,0.4192747178135246,0.04181711762373239,0.06603409266213954,0.00843994334842472,-0.058093887612773815,0.008046856300585013,SILVER
20090826,2009,238,2009.6520547945208,P61R17,LE07,104,0.5123152709359606,0.462544942083602,0.02705485367347096,0.3036852667216725,0.19183190005923936,0.029719410854352205,0.02618868898815388,1.7999832946712098,0.12691220773340392,0.2612024107847768,0.0358078644627541,0.4781250248626022,0.043557864000661715,0.0984887633086167,0.15467316016306898,-0.06190722876831941,0.08757077580550733,KLOO
20090902,2009,245,2009.6712328767126,P62R17,LE07,179,0.4904109589041096,0.6613057094270856,0.03842813009200816,0.2232825658526238,0.019166962970373482,0.10064099655122807,0.07445405600171448,2.3763294981672387,0.3333985502786535,0.3756084410817756,0.05445457833559922,0.6196503512178152,0.06274154957255358,0.07022851185087517,0.006369217844650512,-0.022150683915351275,0.007916956722178022,CHITTY
20090902,2009,245,2009.6712328767126,P62R17,LE07,122,0.6130653266331658,0.6217982996164138,0.04070076642958257,0.2398294210069349,0.14735816692208656,0.06121245641731843,0.061345221239503936,2.0737882284820794,0.2732263946413963,0.277179784245925,0.07153778420390547,0.5241390739603551,0.0787846104060851,0.0473483416584845,0.2656588033726615,-0.033035734211140394,0.06820656622039664,KLOO
20090902,2009,245,2009.6712328767126,P62R17,LE07,273,0.7398373983739838,0.5171446301311363,0.032630504787303394,0.18019836670706127,0.01780290575787567,0.0451807577352515,0.055889336219215435,1.5073841950014994,0.1358609203516984,0.17359906842855222,0.03603255028742288,0.4215102358352497,0.04804415369992928,0.05222844701265198,0.006215508864031785,-0.046824061358556365,0.008819332634352427,SILVER
20090902,2009,245,2009.6712328767126,P62R17,LE07,201,0.9305555555555556,0.6163049836443604,0.04235181191180176,0.2072390948155682,0.01799312133474371,0.06665242606761161,0.07194518683715845,2.039210449376104,0.2803239599054628,0.2875760858868621,0.062093191017778514,0.5293901670195131,0.06427037353354798,0.06339114669994972,0.006150503867153887,-0.03326271419768337,0.009661112023835251,SULPHUR
20090912,2009,255,2009.6986301369864,P60R17,LT05,203,1.0,0.4572307638698426,0.0481259617278669,0.05167855577867093,2.0134753884106424,-0.0055677339890350145,0.03277471788287717,0.24273093394271145,0.03080366751254598,0.19974179438508327,0.07974620271922607,0.3930515139725577,0.10990731249431067,0.061286074430455424,0.04955920637280683,-0.06066864405538204,0.05259820363432236,KLOO
